km,poi,Vmax,Vmax-GNT,Vmax-LZB
"0,0",<b>Dresden Hbf,40,40,,
"0,3",Zsig,,,,
"0,9",Zsig,,,,
"1,5",,70,70,,
"1,8",Asig,,,,
"1,9",<b>GNT-Anfang,,,,
"1,9",,80,,,
"2,0",¥,,,,
"3,1",<b>Dresden-Plauen Hp,,,,
"3,2",Sbk 5025,,,,
"3,5",,80,90,,
"4,0",,100,110,,
